metric,value,dependencia_terreno,tipo
ed,17.335314586623426,0.3,Urban
frac_mn,1.0289425775233865,0.3,Grassland
frac_mn,1.2094286572007684,0.3,Forest
frac_mn,1.2075200907049577,0.3,Agriculture
frac_mn,1.2064400089007592,0.3,Urban
gyrate_mn,2.9286140309147517,0.3,Grassland
gyrate_mn,28.301723034565956,0.3,Forest
gyrate_mn,31.19315397349494,0.3,Agriculture
gyrate_mn,24.94603308781219,0.3,Urban
iji,98.30714692725216,0.3,Grassland
iji,73.09766784695636,0.3,Forest
iji,66.42008121953211,0.3,Agriculture
iji,70.6530754469422,0.3,Urban
lpi,9.482665377219767,0.3,Grassland
lpi,12.820518412036035,0.3,Forest
lpi,38.49146232711157,0.3,Agriculture
lpi,2.5925504603580505,0.3,Urban
lsi,212.41109445277365,0.3,Grassland
lsi,225.8009708737864,0.3,Forest
lsi,134.09677419354838,0.3,Agriculture
lsi,169.9723122238586,0.3,Urban
mesh,7377.193778412791,0.3,Grassland
mesh,11194.369961763863,0.3,Forest
mesh,108247.6786736267,0.3,Agriculture
mesh,454.13303073761966,0.3,Urban
ndca,8594,0.3,Grassland
ndca,58127,0.3,Forest
ndca,20267,0.3,Agriculture
ndca,15304,0.3,Urban
nlsi,0.0634141080956475,0.3,Grassland
nlsi,0.05597970678248456,0.3,Forest
nlsi,0.02593711095682929,0.3,Agriculture
nlsi,0.09961631998860856,0.3,Urban
np,128799,0.3,Grassland
np,45871,0.3,Forest
np,12308,0.3,Agriculture
np,15311,0.3,Urban
pafrac,1.5103669295422055,0.3,Grassland
pafrac,1.5183936849348945,0.3,Forest
pafrac,1.5324376191234967,0.3,Agriculture
pafrac,1.5669254481804016,0.3,Urban
para_mn,0.37415673033694347,0.3,Grassland
para_mn,0.22174340003515952,0.3,Forest
para_mn,0.2244331745543624,0.3,Agriculture
para_mn,0.22621737193770192,0.3,Urban
pd,19.370428513299647,0.3,Grassland
pd,6.89866323755284,0.3,Forest
pd,1.8510332699919416,0.3,Agriculture
pd,2.302662528180583,0.3,Urban
pladj,93.6305041226915,0.3,Grassland
pladj,94.37852727786338,0.3,Forest
pladj,97.77597232108636,0.3,Agriculture
pladj,89.98531785286615,0.3,Urban
pland,16.726100856468335,0.3,Grassland
pland,24.266339323935515,0.3,Forest
pland,54.674671127273854,0.3,Agriculture
pland,4.332888692322298,0.3,Urban
shape_mn,1.1113027835162674,0.3,Grassland
shape_mn,2.3811040548126723,0.3,Forest
shape_mn,2.3508519378531743,0.3,Agriculture
shape_mn,2.2926712460850114,0.3,Urban
split,90.1326357924492,0.3,Grassland
split,59.39824414157825,0.3,Forest
split,6.142634448585192,0.3,Agriculture
split,1464.1655087717418,0.3,Urban
tca,96566.16,0.3,Grassland
tca,141904.7,0.3,Forest
tca,344659.85,0.3,Agriculture
tca,22793.55,0.3,Urban
te,28021690,0.3,Grassland
te,36138370,0.3,Forest
te,31762840,0.3,Agriculture
te,11526700,0.3,Urban
ai,93.72104038006589,0.4,Grassland
ai,94.4212652159922,0.4,Forest
ai,97.82098894574315,0.4,Agriculture
ai,90.1173267253662,0.4,Urban
area_mn,0.909371872444808,0.4,Grassland
area_mn,3.5175422380153036,0.4,Forest
area_mn,29.537378940526484,0.4,Agriculture
area_mn,1.8816863692769903,0.4,Urban
ca,111216.17999999992,0.4,Grassland
ca,161353.18000000005,0.4,Forest
ca,363546.06,0.4,Agriculture
ca,28810.5,0.4,Urban
cai_mn,0.8250060156099914,0.4,Grassland
cai_mn,9.296612762490582,0.4,Forest
cai_mn,8.361769021909621,0.4,Agriculture
cai_mn,7.461056089140026,0.4,Urban
circle_mn,0.4354940190756609,0.4,Grassland
circle_mn,0.6763118348804975,0.4,Forest
circle_mn,0.6791234091732504,0.4,Agriculture
circle_mn,0.6830948667626278,0.4,Urban
clumpy,0.9245987075840936,0.4,Grassland
clumpy,0.9263374471244732,0.4,Forest
clumpy,0.9519250911477,0.4,Agriculture
clumpy,0.8966972751706713,0.4,Urban
cohesion,99.95025383697978,0.4,Grassland
cohesion,99.2070980553897,0.4,Forest
cohesion,99.98002739386216,0.4,Agriculture
cohesion,99.66101319690976,0.4,Urban
contig_mn,0.06787721911335388,0.4,Grassland
contig_mn,0.4430632063451306,0.4,Forest
contig_mn,0.43358582817078944,0.4,Agriculture
contig_mn,0.4291160619046605,0.4,Urban
core_mn,0.7888819296811126,0.4,Grassland
core_mn,3.089675394039807,0.4,Forest
core_mn,28.00447026324342,0.4,Agriculture
core_mn,1.4890594997060935,0.4,Urban
cpland,14.509926158390702,0.4,Grassland
cpland,21.314630056834,0.4,Forest
cpland,51.83720616576356,0.4,Agriculture
cpland,3.4288015122045477,0.4,Urban
dcad,1.481217636996314,0.4,Grassland
dcad,8.604717951136573,0.4,Forest
dcad,3.0440985064922725,0.4,Agriculture
dcad,2.3062719528214513,0.4,Urban
dcore_mn,0.0805314799672935,0.4,Grassland
dcore_mn,1.2473022170870485,0.4,Forest
dcore_mn,1.6445401364965877,0.4,Agriculture
dcore_mn,1.001567500489844,0.4,Urban
division,0.9871357943578052,0.4,Grassland
division,0.9831644855087558,0.4,Forest
division,0.8372034005327591,0.4,Agriculture
division,0.9993170171035932,0.4,Urban
ed,41.68492935273151,0.4,Grassland
ed,54.25793898965467,0.4,Forest
ed,47.10326227017892,0.4,Agriculture
ed,17.179387442137916,0.4,Urban
frac_mn,1.0290015607912537,0.4,Grassland
frac_mn,1.2062830360480088,0.4,Forest
frac_mn,1.2061238374946175,0.4,Agriculture
frac_mn,1.2049667740534251,0.4,Urban
gyrate_mn,3.1121702297265066,0.4,Grassland
gyrate_mn,28.498245738502643,0.4,Forest
gyrate_mn,31.195972115721325,0.4,Agriculture
gyrate_mn,25.12473565034596,0.4,Urban
iji,97.93899478658064,0.4,Grassland
iji,73.69677864082924,0.4,Forest
iji,66.54654084112833,0.4,Agriculture
iji,72.3195546945597,0.4,Urban
lpi,9.529506685496637,0.4,Grassland
lpi,12.820518412036035,0.4,Forest
lpi,38.49146232711157,0.4,Agriculture
lpi,2.5925504603580505,0.4,Urban
lsi,210.32908545727136,0.4,Grassland
lsi,225.02850385860097,0.4,Forest
lsi,132.36072642839372,0.4,Agriculture
lsi,168.63298969072164,0.4,Urban
mesh,8553.743771705576,0.4,Grassland
mesh,11194.369961763863,0.4,Forest
mesh,108247.6786736267,0.4,Agriculture
mesh,454.13303073761966,0.4,Urban
ndca,9849,0.4,Grassland
ndca,57215,0.4,Forest
ndca,20241,0.4,Agriculture
ndca,15335,0.4,Urban
nlsi,0.06278959619934121,0.4,Grassland
nlsi,0.05578734784007812,0.4,Forest
nlsi,0.02560746353086582,0.4,Agriculture
nlsi,0.09882673274633794,0.4,Urban
np,122300,0.4,Grassland
np,45871,0.4,Forest
np,12308,0.4,Agriculture
np,15311,0.4,Urban
pafrac,1.4591390343109585,0.4,Grassland
pafrac,1.5079278459231005,0.4,Forest
pafrac,1.5284823982205693,0.4,Agriculture
pafrac,1.5691926330638677,0.4,Urban
para_mn,0.37108107290983416,0.4,Grassland
para_mn,0.21972863642919543,0.4,Forest
para_mn,0.22359482047514537,0.4,Agriculture
para_mn,0.22532589063808836,0.4,Urban
pd,18.3930263990912,0.4,Grassland
pd,6.89866323755284,0.4,Forest
