prod,tipo,ref,esc,fraccion
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 6,0.008854447473160615
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 7,0.009439624643533153
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 8,0.0068262047253315776
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 9,0.007411215375224875
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 10,0.010402803837099196
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 1,0.06009340929776129
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 2,0.18613598632394412
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 3,0.054984629370896626
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 4,0.06350831801146391
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 5,0.05556052642868328
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 6,0.06041372668178957
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 7,0.061353530086638276
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 8,0.054600698287040755
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 9,0.054759023267819146
P_SURFACE_EXPORT,Forest,0.2426633932390044,Esc. 10,0.07131327952012151
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 1,0.8395362387225067
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 2,0.5746965733766977
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 3,0.8594236850784762
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 4,0.8846714702452254
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 5,0.8830086573698737
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 6,0.8607721989190356
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 7,0.8510354481013391
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 8,0.8780811666380354
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 9,0.8815023784964856
P_SURFACE_EXPORT,Agriculture,0.5467467112735965,Esc. 10,0.8246017144193727
NDR_P,Urban,0.04332888692314893,Esc. 1,0.08731295536169564
NDR_P,Urban,0.04332888692314893,Esc. 2,0.06800925784569664
NDR_P,Urban,0.04332888692314893,Esc. 3,0.07802288889030025
NDR_P,Urban,0.04332888692314893,Esc. 4,0.05272657918365249
NDR_P,Urban,0.04332888692314893,Esc. 5,0.05873387351495516
NDR_P,Urban,0.04332888692314893,Esc. 6,0.06078518985607922
NDR_P,Urban,0.04332888692314893,Esc. 7,0.07889786648814669
NDR_P,Urban,0.04332888692314893,Esc. 8,0.05301157095952741
NDR_P,Urban,0.04332888692314893,Esc. 9,0.049961055150360534
NDR_P,Urban,0.04332888692314893,Esc. 10,0.086335733082961
NDR_P,Grassland,0.1672610085642501,Esc. 1,0.11768703188336911
NDR_P,Grassland,0.1672610085642501,Esc. 2,0.18573972756972962
NDR_P,Grassland,0.1672610085642501,Esc. 3,0.09841099577336267
NDR_P,Grassland,0.1672610085642501,Esc. 4,0.09986424034891475
NDR_P,Grassland,0.1672610085642501,Esc. 5,0.10174029042411192
NDR_P,Grassland,0.1672610085642501,Esc. 6,0.11976648317795512
NDR_P,Grassland,0.1672610085642501,Esc. 7,0.12806232642335064
NDR_P,Grassland,0.1672610085642501,Esc. 8,0.08844865842283453
NDR_P,Grassland,0.1672610085642501,Esc. 9,0.09232099777324376
NDR_P,Grassland,0.1672610085642501,Esc. 10,0.13649061665504678
NDR_P,Forest,0.2426633932390044,Esc. 1,0.12797230467185355
NDR_P,Forest,0.2426633932390044,Esc. 2,0.2419974562233791
NDR_P,Forest,0.2426633932390044,Esc. 3,0.10772191624743299
NDR_P,Forest,0.2426633932390044,Esc. 4,0.1386311160565554
NDR_P,Forest,0.2426633932390044,Esc. 5,0.10962047863370884
NDR_P,Forest,0.2426633932390044,Esc. 6,0.11572205209365725
NDR_P,Forest,0.2426633932390044,Esc. 7,0.11385580708284136
NDR_P,Forest,0.2426633932390044,Esc. 8,0.12002231036533428
NDR_P,Forest,0.2426633932390044,Esc. 9,0.11908733127186308
NDR_P,Forest,0.2426633932390044,Esc. 10,0.1253642495808418
NDR_P,Agriculture,0.5467467112735965,Esc. 1,0.6670277080830816
NDR_P,Agriculture,0.5467467112735965,Esc. 2,0.5042535583611947
NDR_P,Agriculture,0.5467467112735965,Esc. 3,0.7158441990889041
NDR_P,Agriculture,0.5467467112735965,Esc. 4,0.7087780644108773
NDR_P,Agriculture,0.5467467112735965,Esc. 5,0.7299053574272241
NDR_P,Agriculture,0.5467467112735965,Esc. 6,0.7037262748723084
NDR_P,Agriculture,0.5467467112735965,Esc. 7,0.6791840000056613
NDR_P,Agriculture,0.5467467112735965,Esc. 8,0.7385174602523038
NDR_P,Agriculture,0.5467467112735965,Esc. 9,0.7386306158045326
NDR_P,Agriculture,0.5467467112735965,Esc. 10,0.6518094006811505
