metric,tipo,max_d,esc
0.2413789916072665,IIC,1000,5
1,NC,10000,5
8,LNK,10000,5
6643940856.622756,SLC,10000,5
6643940856.622756,MSC,10000,5
1,CCP,10000,5
0.24138477446057297,LCP,10000,5
1.8571428571428572,CPL,10000,5
6643940856.622756,ECS,10000,5
2057423083967193.3,AWF,10000,5
0.24137899644757238,IIC,10000,5
1,NC,1e+05,5
16,LNK,1e+05,5
6643940856.622756,SLC,1e+05,5
6643940856.622756,MSC,1e+05,5
1,CCP,1e+05,5
0.24138477446057297,LCP,1e+05,5
1.3333333333333333,CPL,1e+05,5
6643940856.622756,ECS,1e+05,5
2106800775694837.3,AWF,1e+05,5
0.24137899644757493,IIC,1e+05,5
6,NC,0,6
0,LNK,0,6
6643782083.717421,SLC,0,6
1107323476.103808,MSC,0,6
0.999952206331374,CCP,0,6
0.24137323779665767,LCP,0,6
NA,CPL,0,6
6643623318.315175,ECS,0,6
NA,AWF,0,6
0,IIC,0,6
5,NC,10,6
2,LNK,10,6
6643782483.397485,SLC,10,6
1328788171.3245695,MSC,10,6
0.9999523266426537,CCP,10,6
0.24137326683796875,LCP,10,6
1,CPL,10,6
6643624117.656201,ECS,10,6
4608902285658.793,AWF,10,6
0.2413732376619074,IIC,10,6
2,NC,100,6
5,LNK,100,6
6643783882.277709,SLC,100,6
3321970428.311424,MSC,100,6
0.9999527477321843,CCP,100,6
0.24137336848257018,LCP,100,6
1.6,CPL,100,6
6643626915.35014,ECS,100,6
165369604907714.63,AWF,100,6
0.2413732884842086,IIC,100,6
1,NC,1000,6
6,LNK,1000,6
6643940856.622848,SLC,1000,6
6643940856.622848,MSC,1000,6
1,CCP,1000,6
0.24138477446057963,LCP,1000,6
1.6666666666666667,CPL,1000,6
6643940856.6228485,ECS,1000,6
1623584591138590.5,AWF,1000,6
0.24137899160727308,IIC,1000,6
1,NC,10000,6
8,LNK,10000,6
6643940856.622848,SLC,10000,6
6643940856.622848,MSC,10000,6
1,CCP,10000,6
0.24138477446057963,LCP,10000,6
1.8571428571428572,CPL,10000,6
6643940856.6228485,ECS,10000,6
2057423083971698.8,AWF,10000,6
0.24137899644757901,IIC,10000,6
1,NC,1e+05,6
16,LNK,1e+05,6
6643940856.622848,SLC,1e+05,6
6643940856.622848,MSC,1e+05,6
1,CCP,1e+05,6
0.24138477446057963,LCP,1e+05,6
1.3333333333333333,CPL,1e+05,6
6643940856.6228485,ECS,1e+05,6
2106800775699452.5,AWF,1e+05,6
0.2413789964475815,IIC,1e+05,6
6,NC,0,7
0,LNK,0,7
6643782083.717439,SLC,0,7
1107323476.1038108,MSC,0,7
0.9999522063313743,CCP,0,7
0.241373237796659,LCP,0,7
NA,CPL,0,7
6643623318.315195,ECS,0,7
NA,AWF,0,7
0,IIC,0,7
5,NC,10,7
2,LNK,10,7
6643782483.397503,SLC,10,7
1328788171.324573,MSC,10,7
0.9999523266426539,CCP,10,7
0.24137326683797006,LCP,10,7
1,CPL,10,7
6643624117.65622,ECS,10,7
4608902285658.806,AWF,10,7
0.2413732376619087,IIC,10,7
2,NC,100,7
5,LNK,100,7
6643783882.277727,SLC,100,7
3321970428.3114324,MSC,100,7
0.9999527477321848,CCP,100,7
0.2413733684825715,LCP,100,7
1.6,CPL,100,7
6643626915.350159,ECS,100,7
165369604907320.8,AWF,100,7
0.2413732884842099,IIC,100,7
1,NC,1000,7
6,LNK,1000,7
6643940856.622865,SLC,1000,7
6643940856.622865,MSC,1000,7
1,CCP,1000,7
0.24138477446058088,LCP,1000,7
1.6666666666666667,CPL,1000,7
6643940856.622864,ECS,1000,7
1623584591134253.3,AWF,1000,7
0.24137899160727438,IIC,1000,7
1,NC,10000,7
8,LNK,10000,7
6643940856.622865,SLC,10000,7
6643940856.622865,MSC,10000,7
1,CCP,10000,7
0.24138477446058088,LCP,10000,7
1.8571428571428572,CPL,10000,7
6643940856.622864,ECS,10000,7
2057423083966185.8,AWF,10000,7
0.24137899644758026,IIC,10000,7
1,NC,1e+05,7
16,LNK,1e+05,7
6643940856.622865,SLC,1e+05,7
6643940856.622865,MSC,1e+05,7
1,CCP,1e+05,7
0.24138477446058088,LCP,1e+05,7
1.3333333333333333,CPL,1e+05,7
6643940856.622864,ECS,1e+05,7
2106800775693805.3,AWF,1e+05,7
0.24137899644758282,IIC,1e+05,7
6,NC,0,8
